prompt_id,secteur,plateforme,fichier,statut,date_collecte,note
P01,Banque,chatgpt,collecte/chatgpt.md (section P01),done,2026-06-10,
P02,Banque,chatgpt,collecte/chatgpt.md (section P02),done,2026-06-10,
P03,Banque,chatgpt,collecte/chatgpt.md (section P03),done,2026-06-10,
P04,Banque,chatgpt,collecte/chatgpt.md (section P04),done,2026-06-10,
P05,Banque,chatgpt,collecte/chatgpt.md (section P05),done,2026-06-10,
P06,Banque,chatgpt,collecte/chatgpt.md (section P06),done,2026-06-10,
P07,Banque,chatgpt,collecte/chatgpt.md (section P07),done,2026-06-10,
P08,Banque,chatgpt,collecte/chatgpt.md (section P08),done,2026-06-10,
P09,Assurance,chatgpt,collecte/chatgpt.md (section P09),done,2026-06-10,
P10,Assurance,chatgpt,collecte/chatgpt.md (section P10),done,2026-06-10,
P11,Assurance,chatgpt,collecte/chatgpt.md (section P11),done,2026-06-10,
P12,Assurance,chatgpt,collecte/chatgpt.md (section P12),done,2026-06-10,
P13,Assurance,chatgpt,collecte/chatgpt.md (section P13),done,2026-06-10,
P14,Assurance,chatgpt,collecte/chatgpt.md (section P14),done,2026-06-10,
P15,Assurance,chatgpt,collecte/chatgpt.md (section P15),done,2026-06-10,
P16,Assurance,chatgpt,collecte/chatgpt.md (section P16),done,2026-06-10,
P17,Telecom & énergie,chatgpt,collecte/chatgpt.md (section P17),done,2026-06-10,
P18,Telecom & énergie,chatgpt,collecte/chatgpt.md (section P18),done,2026-06-10,
P19,Telecom & énergie,chatgpt,collecte/chatgpt.md (section P19),done,2026-06-10,
P20,Telecom & énergie,chatgpt,collecte/chatgpt.md (section P20),done,2026-06-10,
P21,Telecom & énergie,chatgpt,collecte/chatgpt.md (section P21),done,2026-06-10,
P22,Telecom & énergie,chatgpt,collecte/chatgpt.md (section P22),done,2026-06-10,
P23,Telecom & énergie,chatgpt,collecte/chatgpt.md (section P23),done,2026-06-10,
P24,Telecom & énergie,chatgpt,collecte/chatgpt.md (section P24),done,2026-06-10,
P25,Retail & e-commerce,chatgpt,collecte/chatgpt.md (section P25),done,2026-06-10,
P26,Retail & e-commerce,chatgpt,collecte/chatgpt.md (section P26),done,2026-06-10,
P27,Retail & e-commerce,chatgpt,collecte/chatgpt.md (section P27),done,2026-06-10,
P28,Retail & e-commerce,chatgpt,collecte/chatgpt.md (section P28),done,2026-06-10,
P29,Retail & e-commerce,chatgpt,collecte/chatgpt.md (section P29),done,2026-06-10,
P30,Retail & e-commerce,chatgpt,collecte/chatgpt.md (section P30),done,2026-06-10,
P31,Retail & e-commerce,chatgpt,collecte/chatgpt.md (section P31),done,2026-06-10,
P32,Retail & e-commerce,chatgpt,collecte/chatgpt.md (section P32),done,2026-06-10,
P33,Tech & services FR,chatgpt,collecte/chatgpt.md (section P33),done,2026-06-10,
P34,Tech & services FR,chatgpt,collecte/chatgpt.md (section P34),done,2026-06-10,
P35,Tech & services FR,chatgpt,collecte/chatgpt.md (section P35),done,2026-06-10,
P36,Tech & services FR,chatgpt,collecte/chatgpt.md (section P36),done,2026-06-10,
P37,Tech & services FR,chatgpt,collecte/chatgpt.md (section P37),done,2026-06-10,
P38,Tech & services FR,chatgpt,collecte/chatgpt.md (section P38),done,2026-06-10,
P39,Tech & services FR,chatgpt,collecte/chatgpt.md (section P39),done,2026-06-10,
P40,Tech & services FR,chatgpt,collecte/chatgpt.md (section P40),done,2026-06-10,
P01,Banque,lechat,collecte/lechat.md (section P01),done,2026-06-10,
P02,Banque,lechat,collecte/lechat.md (section P02),done,2026-06-10,
P03,Banque,lechat,collecte/lechat.md (section P03),done,2026-06-10,
P04,Banque,lechat,collecte/lechat.md (section P04),done,2026-06-10,
P05,Banque,lechat,collecte/lechat.md (section P05),done,2026-06-10,
P06,Banque,lechat,collecte/lechat.md (section P06),done,2026-06-10,
P07,Banque,lechat,collecte/lechat.md (section P07),done,2026-06-10,
P08,Banque,lechat,collecte/lechat.md (section P08),done,2026-06-10,
P09,Assurance,lechat,collecte/lechat.md (section P09),done,2026-06-10,
P10,Assurance,lechat,collecte/lechat.md (section P10),done,2026-06-10,
P11,Assurance,lechat,collecte/lechat.md (section P11),done,2026-06-10,
P12,Assurance,lechat,collecte/lechat.md (section P12),done,2026-06-10,
P13,Assurance,lechat,collecte/lechat.md (section P13),done,2026-06-10,
P14,Assurance,lechat,collecte/lechat.md (section P14),done,2026-06-10,
P15,Assurance,lechat,collecte/lechat.md (section P15),done,2026-06-10,
