prompt_id,plateforme,secteur,marque,position,sentiment,n_mentions,sources_marque,sources_urls
P01,chatgpt,Banque,BNP Paribas,middle,positive,2,non,
P01,chatgpt,Banque,BoursoBank,first_paragraph,positive,6,non,
P01,chatgpt,Banque,Fortuneo,middle,positive,4,non,
P01,chatgpt,Banque,Hello bank!,middle,positive,3,non,
P02,chatgpt,Banque,BNP Paribas,middle,neutral,2,non,
P02,chatgpt,Banque,Crédit Agricole,middle,positive,2,non,
P02,chatgpt,Banque,BoursoBank,first_paragraph,positive,4,non,
P02,chatgpt,Banque,Fortuneo,middle,positive,3,non,
P02,chatgpt,Banque,Crédit Mutuel,middle,positive,2,non,
P03,chatgpt,Banque,Crédit Agricole,middle,positive,2,non,
P03,chatgpt,Banque,BoursoBank,first_paragraph,positive,3,non,
P03,chatgpt,Banque,Fortuneo,first_paragraph,positive,4,non,
P03,chatgpt,Banque,Hello bank!,first_paragraph,neutral,6,non,
P04,chatgpt,Banque,BNP Paribas,end,positive,2,non,
P04,chatgpt,Banque,Qonto,first_paragraph,positive,4,non,
P05,chatgpt,Banque,BNP Paribas,middle,positive,4,non,
P05,chatgpt,Banque,Crédit Agricole,middle,positive,3,non,
P05,chatgpt,Banque,Société Générale,middle,neutral,2,non,
P05,chatgpt,Banque,BoursoBank,end,neutral,1,non,
P05,chatgpt,Banque,Hello bank!,end,neutral,3,non,
P05,chatgpt,Banque,Crédit Mutuel,middle,positive,2,non,
P06,chatgpt,Banque,BNP Paribas,first_paragraph,positive,6,non,
P06,chatgpt,Banque,Crédit Agricole,first_paragraph,positive,3,non,
P06,chatgpt,Banque,BoursoBank,first_paragraph,positive,3,non,
P06,chatgpt,Banque,Fortuneo,first_paragraph,positive,4,non,
P06,chatgpt,Banque,Hello bank!,first_paragraph,positive,9,non,
P07,chatgpt,Banque,BNP Paribas,middle,neutral,2,non,
P07,chatgpt,Banque,Crédit Agricole,first_paragraph,neutral,2,non,
P07,chatgpt,Banque,Société Générale,middle,neutral,1,non,
P07,chatgpt,Banque,BoursoBank,middle,neutral,1,non,
P07,chatgpt,Banque,Hello bank!,middle,neutral,3,non,
P07,chatgpt,Banque,Crédit Mutuel,middle,neutral,2,non,
P08,chatgpt,Banque,BNP Paribas,middle,positive,6,non,
P08,chatgpt,Banque,BoursoBank,first_paragraph,positive,7,non,
P08,chatgpt,Banque,Fortuneo,middle,positive,3,oui,fortuneo.fr
P08,chatgpt,Banque,Hello bank!,middle,positive,3,non,
P09,chatgpt,Assurance,AXA,first_paragraph,positive,4,non,
P09,chatgpt,Assurance,MAIF,first_paragraph,positive,5,non,
P09,chatgpt,Assurance,Matmut,first_paragraph,positive,1,non,
P09,chatgpt,Assurance,Groupama,first_paragraph,positive,2,non,
P09,chatgpt,Assurance,GMF,first_paragraph,positive,4,non,
P09,chatgpt,Assurance,MMA,first_paragraph,positive,2,non,
P09,chatgpt,Assurance,Direct Assurance,middle,neutral,1,non,
P10,chatgpt,Assurance,AXA,first_paragraph,neutral,5,non,
P10,chatgpt,Assurance,MAIF,first_paragraph,neutral,6,non,
P10,chatgpt,Assurance,Groupama,first_paragraph,neutral,6,non,
P10,chatgpt,Assurance,GMF,first_paragraph,neutral,4,non,
P10,chatgpt,Assurance,MMA,first_paragraph,neutral,2,non,
P10,chatgpt,Assurance,Direct Assurance,middle,neutral,3,non,
P11,chatgpt,Assurance,AXA,middle,positive,2,non,
P12,chatgpt,Assurance,AXA,middle,positive,2,non,
P12,chatgpt,Assurance,MAIF,middle,positive,2,non,
P12,chatgpt,Assurance,MACIF,middle,positive,2,non,
P12,chatgpt,Assurance,Matmut,middle,positive,2,non,
P12,chatgpt,Assurance,GMF,middle,neutral,1,non,
P12,chatgpt,Assurance,Direct Assurance,middle,positive,2,non,
P13,chatgpt,Assurance,MAIF,middle,positive,2,non,
P13,chatgpt,Assurance,Matmut,middle,positive,2,non,
P13,chatgpt,Assurance,Direct Assurance,middle,positive,2,non,
P14,chatgpt,Assurance,AXA,middle,positive,3,non,
P14,chatgpt,Assurance,MAIF,middle,positive,4,non,
P14,chatgpt,Assurance,Matmut,middle,neutral,2,non,
P14,chatgpt,Assurance,Groupama,middle,positive,3,non,
P14,chatgpt,Assurance,MMA,middle,neutral,2,non,
P14,chatgpt,Assurance,Direct Assurance,middle,positive,1,non,
P15,chatgpt,Assurance,MAIF,middle,neutral,1,non,
P15,chatgpt,Assurance,MACIF,middle,neutral,1,non,
P15,chatgpt,Assurance,Alan,middle,neutral,1,non,
P16,chatgpt,Assurance,Direct Assurance,first_paragraph,positive,2,non,
P16,chatgpt,Assurance,Leocare,first_paragraph,positive,2,non,
P17,chatgpt,Telecom & énergie,Orange,first_paragraph,positive,4,non,
P17,chatgpt,Telecom & énergie,Free,middle,positive,6,non,
P17,chatgpt,Telecom & énergie,SFR,middle,positive,2,non,
P17,chatgpt,Telecom & énergie,Bouygues Telecom,first_paragraph,positive,8,oui,bouyguestelecom.fr
P18,chatgpt,Telecom & énergie,Orange,first_paragraph,positive,9,non,
P18,chatgpt,Telecom & énergie,Free,first_paragraph,positive,6,non,
P18,chatgpt,Telecom & énergie,SFR,first_paragraph,positive,5,non,
P18,chatgpt,Telecom & énergie,Bouygues Telecom,first_paragraph,positive,9,non,
P18,chatgpt,Telecom & énergie,RED by SFR,middle,positive,3,non,
P19,chatgpt,Telecom & énergie,Free,first_paragraph,positive,5,non,
P19,chatgpt,Telecom & énergie,SFR,first_paragraph,positive,3,non,
P19,chatgpt,Telecom & énergie,Bouygues Telecom,middle,positive,3,non,
P19,chatgpt,Telecom & énergie,Sosh,first_paragraph,positive,1,non,
P19,chatgpt,Telecom & énergie,RED by SFR,first_paragraph,positive,6,non,
P20,chatgpt,Telecom & énergie,EDF,middle,neutral,1,non,
P20,chatgpt,Telecom & énergie,Mint Énergie,middle,positive,2,non,
P21,chatgpt,Telecom & énergie,EDF,first_paragraph,positive,4,non,
P21,chatgpt,Telecom & énergie,Engie,middle,positive,3,non,
P21,chatgpt,Telecom & énergie,TotalEnergies,middle,neutral,2,non,
P21,chatgpt,Telecom & énergie,Mint Énergie,middle,positive,4,non,
P22,chatgpt,Telecom & énergie,Orange,first_paragraph,positive,5,non,
P22,chatgpt,Telecom & énergie,Free,middle,positive,4,non,
P22,chatgpt,Telecom & énergie,SFR,middle,positive,3,non,
P22,chatgpt,Telecom & énergie,Bouygues Telecom,first_paragraph,positive,7,non,
P23,chatgpt,Telecom & énergie,Orange,middle,positive,5,non,
P23,chatgpt,Telecom & énergie,Free,first_paragraph,positive,6,non,
P23,chatgpt,Telecom & énergie,SFR,middle,positive,1,non,
P23,chatgpt,Telecom & énergie,Sosh,middle,positive,3,non,
