prompt_id,secteur,plateforme,marque,position,sentiment,n_mentions,extrait
P01,Banque,chatgpt,BNP Paribas,middle,positive,2,rtes et faibles frais à l'étranger Dépôts d'espèces	Hello bank!	Accès au réseau d'agences BNP Paribas pour les dépôts Investissement (PEA)	Fortuneo ou BoursoBank	Frais compétitifs et offres bourse complètes Sans condition de reven
P01,Banque,chatgpt,BoursoBank,first_paragraph,positive,6,"banque pour la majorité des Français aujourd’hui, ce serait :  🏆 Meilleur choix global : BoursoBank  Elle est régulièrement classée parmi les banques les moins chères et les plus complètes de France, avec plusieurs millions de cl"
P01,Banque,chatgpt,Fortuneo,middle,positive,4,"i Meilleur choix global	BoursoBank	Offre très complète, frais réduits Voyageurs fréquents	Fortuneo	Très bonnes cartes et faibles frais à l'étranger Dépôts d'espèces	Hello bank!	Accès au réseau d'agences BNP Paribas pour les dépôts"
P01,Banque,chatgpt,Hello bank!,middle,positive,3,eurs fréquents	Fortuneo	Très bonnes cartes et faibles frais à l'étranger Dépôts d'espèces	Hello bank!	Accès au réseau d'agences BNP Paribas pour les dépôts Investissement (PEA)	Fortuneo ou BoursoBank	Frais compétitifs et offres bo
P02,Banque,chatgpt,BNP Paribas,middle,neutral,2,"ndaire qu'unique banque principale. Si tu veux garder une agence physique Crédit Agricole BNP Paribas Crédit Mutuel  Ces banques peuvent être intéressantes si tu as besoin d'un conseiller en agence, notamment pour un futur projet"
P02,Banque,chatgpt,Crédit Agricole,middle,positive,2,"t ou compte secondaire qu'unique banque principale. Si tu veux garder une agence physique Crédit Agricole BNP Paribas Crédit Mutuel  Ces banques peuvent être intéressantes si tu as besoin d'un conseiller en agence, notamment pour"
P02,Banque,chatgpt,BoursoBank,first_paragraph,positive,4,"lications mobiles et leurs services complets.  Si tu veux la solution la plus polyvalente BoursoBank Compte et carte souvent gratuits sous conditions d'utilisation. Très bonne application. Épargne, assurance-vie, PEA, crédit immob"
P02,Banque,chatgpt,Fortuneo,middle,positive,3,la moins chère pour un usage courant. Si tu voyages souvent ou veux une excellente carte Fortuneo Carte gratuite selon l'offre choisie. Très bons tarifs à l'étranger. Services bancaires complets et compétitifs. Si tu veux une exp
P02,Banque,chatgpt,Crédit Mutuel,middle,positive,2,"ique banque principale. Si tu veux garder une agence physique Crédit Agricole BNP Paribas Crédit Mutuel  Ces banques peuvent être intéressantes si tu as besoin d'un conseiller en agence, notamment pour un futur projet immobilier o"
P03,Banque,chatgpt,Crédit Agricole,middle,positive,2,"voulez une agence physique  Parmi les banques de réseau, les moins chères sont souvent :  Crédit Agricole (selon la caisse régionale) Crédit Coopératif AXA Banque (avant son intégration progressive dans d'autres activités)  Mon co"
P03,Banque,chatgpt,BoursoBank,first_paragraph,positive,3,paratifs 2025-2026 placent systématiquement en tête :  Rang	Banque	Type	Niveau de frais 1	BoursoBank	Banque en ligne	Très faibles à quasi nuls 2	Fortuneo	Banque en ligne	Très faibles à quasi nuls 3	Hello bank!	Banque en ligne	Faib
P03,Banque,chatgpt,Fortuneo,first_paragraph,positive,4,Rang	Banque	Type	Niveau de frais 1	BoursoBank	Banque en ligne	Très faibles à quasi nuls 2	Fortuneo	Banque en ligne	Très faibles à quasi nuls 3	Hello bank!	Banque en ligne	Faibles 4	Monabanq	Banque en ligne	Modérés 5	BforBank	Banqu
P03,Banque,chatgpt,Hello bank!,first_paragraph,neutral,6,en ligne	Très faibles à quasi nuls 2	Fortuneo	Banque en ligne	Très faibles à quasi nuls 3	Hello bank!	Banque en ligne	Faibles 4	Monabanq	Banque en ligne	Modérés 5	BforBank	Banque en ligne	Faibles à modérés 			 Pour la plupart des
P03,Banque,chatgpt,AXA,middle,neutral,1,oins chères sont souvent :  Crédit Agricole (selon la caisse régionale) Crédit Coopératif AXA Banque (avant son intégration progressive dans d'autres activités)  Mon conseil selon votre profil Vous gérez tout depuis votre téléphon
P04,Banque,chatgpt,BNP Paribas,end,positive,2,es frais. Le meilleur compromis banque en ligne traditionnelle  Points forts :  Adossée à BNP Paribas Dépôt de chèques facilité Plus proche d'une banque classique  Points faibles :  Moins d'outils métier pour freelances
P04,Banque,chatgpt,Qonto,first_paragraph,positive,4,"Si tu es freelance en France aujourd'hui, je recommande généralement Qonto pour la plupart des indépendants, Shine pour ceux qui veulent de la simplicité, et Indy si tu cherches le meilleur rapport coût/foncti"
P05,Banque,chatgpt,BNP Paribas,middle,positive,4,"ts.  Parmi les banques les plus robustes, on retrouve généralement :  Banque	Points forts BNP Paribas	Plus grande banque française, forte diversification internationale. Crédit Agricole	Très bon niveau de fonds propres et réseau i"
P05,Banque,chatgpt,Crédit Agricole,middle,positive,3,"nts forts BNP Paribas	Plus grande banque française, forte diversification internationale. Crédit Agricole	Très bon niveau de fonds propres et réseau important. Crédit Mutuel	Réputation de confiance élevée auprès des clients. BPCE"
P05,Banque,chatgpt,Société Générale,middle,neutral,2,ce élevée auprès des clients. BPCE	Grand groupe mutualiste avec forte présence régionale. Société Générale	Acteur historique et systémique.  Les ratios de solvabilité publiés récemment placent notamment le Crédit Agricole et BPCE
P05,Banque,chatgpt,BoursoBank,end,neutral,1,ent très bien perçu par les clients. Pour une banque en ligne adossée à un grand groupe : BoursoBank (groupe Société Générale) ou Hello bank! bénéficient de la solidité de leur maison mère.  Si vous me dites si vous cherchez une b
P05,Banque,chatgpt,Hello bank!,end,neutral,3,"r une banque en ligne adossée à un grand groupe : BoursoBank (groupe Société Générale) ou Hello bank! bénéficient de la solidité de leur maison mère.  Si vous me dites si vous cherchez une banque pour un compte courant, de l'éparg"
P05,Banque,chatgpt,Crédit Mutuel,middle,positive,2,ion internationale. Crédit Agricole	Très bon niveau de fonds propres et réseau important. Crédit Mutuel	Réputation de confiance élevée auprès des clients. BPCE	Grand groupe mutualiste avec forte présence régionale. Société Général
P06,Banque,chatgpt,BNP Paribas,first_paragraph,positive,6,leures banques françaises en 2026 Critère	BoursoBank	Fortuneo	Hello bank!	Crédit Agricole	BNP Paribas	Revolut Frais courants	Excellent	Excellent	Très bon	Moyen	Moyen	Excellent Carte bancaire	Gratuite sous conditions	Gratuite sous
P06,Banque,chatgpt,Crédit Agricole,first_paragraph,positive,3,paratif des meilleures banques françaises en 2026 Critère	BoursoBank	Fortuneo	Hello bank!	Crédit Agricole	BNP Paribas	Revolut Frais courants	Excellent	Excellent	Très bon	Moyen	Moyen	Excellent Carte bancaire	Gratuite sous condition
P06,Banque,chatgpt,BoursoBank,first_paragraph,positive,3,rgne et usage à l’étranger.  Comparatif des meilleures banques françaises en 2026 Critère	BoursoBank	Fortuneo	Hello bank!	Crédit Agricole	BNP Paribas	Revolut Frais courants	Excellent	Excellent	Très bon	Moyen	Moyen	Excellent Carte
P06,Banque,chatgpt,Fortuneo,first_paragraph,positive,4,ge à l’étranger.  Comparatif des meilleures banques françaises en 2026 Critère	BoursoBank	Fortuneo	Hello bank!	Crédit Agricole	BNP Paribas	Revolut Frais courants	Excellent	Excellent	Très bon	Moyen	Moyen	Excellent Carte bancaire	Gr
P06,Banque,chatgpt,Hello bank!,first_paragraph,positive,9,ranger.  Comparatif des meilleures banques françaises en 2026 Critère	BoursoBank	Fortuneo	Hello bank!	Crédit Agricole	BNP Paribas	Revolut Frais courants	Excellent	Excellent	Très bon	Moyen	Moyen	Excellent Carte bancaire	Gratuite so
P07,Banque,chatgpt,BNP Paribas,middle,neutral,2,"nérale	Réseau national, offres diversifiées	N'est pas toujours la moins chère sur le taux BNP Paribas	Bon accompagnement et outils numériques	Peut être plus exigeante sur le profil emprunteur Crédit Mutuel	Souvent bien placé sur l"
P07,Banque,chatgpt,Crédit Agricole,first_paragraph,neutral,2,"nt considérées pour un premier achat immobilier :  Banque	Points forts	Points d'attention Crédit Agricole	Très présent localement, souvent compétitif pour les primo-accédants	Conditions variables selon les caisses régionales Banqu"
P07,Banque,chatgpt,Société Générale,middle,neutral,1,"gne	Propose fréquemment des offres primo-accédants	Conditions variables selon les régions Société Générale	Réseau national, offres diversifiées	N'est pas toujours la moins chère sur le taux BNP Paribas	Bon accompagnement et outils"
P07,Banque,chatgpt,BoursoBank,middle,neutral,1,"Souvent bien placé sur le rapport qualité-prix	Conditions variables selon les fédérations Boursobank	Frais bancaires faibles, parcours digital	Dossiers parfois plus standardisés Hello bank!	Souvent compétitive pour les bons profil"
P07,Banque,chatgpt,Hello bank!,middle,neutral,3,"s Boursobank	Frais bancaires faibles, parcours digital	Dossiers parfois plus standardisés Hello bank!	Souvent compétitive pour les bons profils	Moins d'accompagnement en agence Ce qui compte plus que la banque  Pour un crédit immo"
P07,Banque,chatgpt,Crédit Mutuel,middle,neutral,2,"Bon accompagnement et outils numériques	Peut être plus exigeante sur le profil emprunteur Crédit Mutuel	Souvent bien placé sur le rapport qualité-prix	Conditions variables selon les fédérations Boursobank	Frais bancaires faibles,"
P08,Banque,chatgpt,BNP Paribas,middle,positive,6,"ouvent jugée moins moderne que BoursoBank. 3	Hello bank!	Bonne intégration avec le réseau BNP Paribas et application assez complète. 4	Monabanq	Très bonne expérience client, fonctionnalités complètes, gestion budgétaire soignée. 5"
P08,Banque,chatgpt,BoursoBank,first_paragraph,positive,7,"s récents, des notes App Store/Google Play et des retours utilisateurs place généralement BoursoBank en tête.  Mon classement actuel Rang	Banque	Points forts de l'application 1	BoursoBank	Interface très complète, opérations en tem"
P08,Banque,chatgpt,Fortuneo,middle,positive,3,"antanés, agrégation de comptes, nombreuses fonctionnalités sans passer par le site web. 2	Fortuneo	Application solide pour la gestion courante et l'investissement (PEA, bourse), mais ergonomie souvent jugée moins moderne que Bours"
P08,Banque,chatgpt,Hello bank!,middle,positive,3,"nvestissement (PEA, bourse), mais ergonomie souvent jugée moins moderne que BoursoBank. 3	Hello bank!	Bonne intégration avec le réseau BNP Paribas et application assez complète. 4	Monabanq	Très bonne expérience client, fonctionnal"
P09,Assurance,chatgpt,AXA,first_paragraph,positive,4,"25 par taille de portefeuille, satisfaction et qualité des garanties sont :  MAAF MMA GMF AXA Macif Allianz Groupama MAIF Matmut  Les groupes réunissant MAAF, MMA et GMF (groupe Covéa), AXA et Macif dominent régulièrement le march"
P09,Assurance,chatgpt,MAIF,first_paragraph,positive,5,"le, satisfaction et qualité des garanties sont :  MAAF MMA GMF AXA Macif Allianz Groupama MAIF Matmut  Les groupes réunissant MAAF, MMA et GMF (groupe Covéa), AXA et Macif dominent régulièrement le marché français de l'assurance a"
P09,Assurance,chatgpt,Matmut,first_paragraph,neutral,1,"atisfaction et qualité des garanties sont :  MAAF MMA GMF AXA Macif Allianz Groupama MAIF Matmut  Les groupes réunissant MAAF, MMA et GMF (groupe Covéa), AXA et Macif dominent régulièrement le marché français de l'assurance auto."
P09,Assurance,chatgpt,Groupama,first_paragraph,neutral,2,"ortefeuille, satisfaction et qualité des garanties sont :  MAAF MMA GMF AXA Macif Allianz Groupama MAIF Matmut  Les groupes réunissant MAAF, MMA et GMF (groupe Covéa), AXA et Macif dominent régulièrement le marché français de l'as"
P09,Assurance,chatgpt,GMF,first_paragraph,positive,4,"s 2025 par taille de portefeuille, satisfaction et qualité des garanties sont :  MAAF MMA GMF AXA Macif Allianz Groupama MAIF Matmut  Les groupes réunissant MAAF, MMA et GMF (groupe Covéa), AXA et Macif dominent régulièrement le m"
P09,Assurance,chatgpt,MMA,first_paragraph,neutral,2,"ments 2025 par taille de portefeuille, satisfaction et qualité des garanties sont :  MAAF MMA GMF AXA Macif Allianz Groupama MAIF Matmut  Les groupes réunissant MAAF, MMA et GMF (groupe Covéa), AXA et Macif dominent régulièrement"
P09,Assurance,chatgpt,Direct Assurance,middle,neutral,1,"haut de gamme	AXA, Allianz Jeunes conducteurs	Macif, Groupama Tarifs compétitifs en ligne	Direct Assurance, L'olivier Assurance  La satisfaction client est souvent citée comme un point fort de Macif et MAIF, notamment pour la gest"
P10,Assurance,chatgpt,Crédit Agricole,first_paragraph,neutral,2,"z  Les classements professionnels placent régulièrement le groupe Covéa (MAAF, MMA, GMF), Crédit Agricole Assurances, Groupama, AXA, Macif et MAIF parmi les principaux assureurs habitation en France.  Si vous privilégiez la qualit"
P10,Assurance,chatgpt,AXA,first_paragraph,neutral,5,"plus importants et les plus établis du marché français, on retrouve :  MAIF MAAF GMF MMA AXA Macif Groupama Allianz  Les classements professionnels placent régulièrement le groupe Covéa (MAAF, MMA, GMF), Crédit Agricole Assurance"
P10,Assurance,chatgpt,MAIF,first_paragraph,neutral,6,"mi les acteurs les plus importants et les plus établis du marché français, on retrouve :  MAIF MAAF GMF MMA AXA Macif Groupama Allianz  Les classements professionnels placent régulièrement le groupe Covéa (MAAF, MMA, GMF), Crédit"
P10,Assurance,chatgpt,Groupama,first_paragraph,neutral,6,"rtants et les plus établis du marché français, on retrouve :  MAIF MAAF GMF MMA AXA Macif Groupama Allianz  Les classements professionnels placent régulièrement le groupe Covéa (MAAF, MMA, GMF), Crédit Agricole Assurances, Groupam"
P10,Assurance,chatgpt,GMF,first_paragraph,neutral,4,"eurs les plus importants et les plus établis du marché français, on retrouve :  MAIF MAAF GMF MMA AXA Macif Groupama Allianz  Les classements professionnels placent régulièrement le groupe Covéa (MAAF, MMA, GMF), Crédit Agricole A"
P10,Assurance,chatgpt,MMA,first_paragraph,neutral,2,"les plus importants et les plus établis du marché français, on retrouve :  MAIF MAAF GMF MMA AXA Macif Groupama Allianz  Les classements professionnels placent régulièrement le groupe Covéa (MAAF, MMA, GMF), Crédit Agricole Assur"
P10,Assurance,chatgpt,Direct Assurance,middle,neutral,3,"Les assureurs 100 % en ligne ou à bas coût peuvent être intéressants :  Acheel Lemonade Direct Assurance Luko  Ils proposent souvent des tarifs attractifs, mais il peut y avoir moins d'accompagnement humain selon les situations."
P11,Assurance,chatgpt,AXA,middle,positive,2,rès solide pour les contrats salariés et entreprises Bon niveau de remboursement global 🔹 AXA / Allianz Assureurs privés très robustes Bon service client et garanties haut de gamme 📊 Les tendances générales du marché Les “meilleur
P12,Assurance,chatgpt,AXA,middle,positive,2,"premiers contrats. GMF : intéressante si tu es étudiant ou fonction publique (ou proche). AXA : très modulable, réseau solide, mais prix parfois plus élevés. Allianz : couverture large, options premium, bon en tous risques. Direct"
P12,Assurance,chatgpt,MAIF,middle,positive,2,"nes conducteurs  Voici les principaux acteurs en France, avec leurs positions typiques :  MAIF : réputée pour sa qualité de service, prix corrects pour profils prudents, mais pas toujours la moins chère. MACIF : bon rapport qualit"
P12,Assurance,chatgpt,MACIF,middle,positive,2,"ualité de service, prix corrects pour profils prudents, mais pas toujours la moins chère. MACIF : bon rapport qualité/prix, souvent compétitive pour les jeunes. Matmut : formules assez flexibles, souvent accessible pour premiers c"
P12,Assurance,chatgpt,Matmut,middle,positive,2,"rs la moins chère. MACIF : bon rapport qualité/prix, souvent compétitive pour les jeunes. Matmut : formules assez flexibles, souvent accessible pour premiers contrats. GMF : intéressante si tu es étudiant ou fonction publique (ou"
P12,Assurance,chatgpt,GMF,middle,neutral,1,"les jeunes. Matmut : formules assez flexibles, souvent accessible pour premiers contrats. GMF : intéressante si tu es étudiant ou fonction publique (ou proche). AXA : très modulable, réseau solide, mais prix parfois plus élevés. A"
P12,Assurance,chatgpt,Direct Assurance,middle,positive,2,"ix parfois plus élevés. Allianz : couverture large, options premium, bon en tous risques. Direct Assurance : souvent parmi les moins chères en ligne, mais service plus digital et moins “humain”. 3) Ce qui marche bien pour payer mo"
P13,Assurance,chatgpt,MAIF,middle,positive,2,fiable 👉 Très souvent classée dans les tops du marché pour l’équilibre prix/protection 🔹 MAIF  Très forte sur la qualité de service et la gestion des sinistres.  Excellente satisfaction client Garanties solides (souvent plus prot
